,FID,Keyword
0,1,Software DEL TTY-like 32 SRI April IMPs We Experiment Questions
1,2,FIELD Duvall ADD Auxilliary If auxilliary 0 request network Primary
2,3,Steve Network Group Bill 2 4 Jeff Duvall NIL NWG
3,4,messages Test BBN SRI host Network voice Imp procedures power
4,5,conjunct exp SYNTAX DEL area% It empty); California NLS id;
5,6,"Network 4 5 Format Bob conversion 9 Error communication, suggested"
6,7,Deloche Interface Network program Host-IMP text May +--------------+----------+ user's This
7,10,California Steve Group Utah Network UCSB Elmer John Paul (213)
8,11,Network GORDO Host 0 Software Procedures messages Deloche August HOST(y)
9,12,Wingfield Y IMP-HOST 26 August DIAGRAMS <--0; 12 INTERFACE COUNTER
10,13,[ Network Group Vint Cerf Request Comments: 13 20 August
11,14,14
12,15,PDP-10 TELNET 940 15 |______| Network user's network UTAH ______
13,16,Network Group MIT Steve Request Comments: 16 27 August receive
14,17,Re: Kahn HOST-IMP message Kreznar Host [ August BBN 17&
15,18,Network Group California Los Angeles Request Comments: 18 Vint Cerf
16,19,"John SDC ARPA [ network 2 messages This example, Bob"
17,20,0 |---|---|---|---|------|-----|-----|-----|-----|-----|-----|-----|-----| (FE) [3] Network ASCII (CC) 20 printing STX
18,21,NWG/RFC 63 links October UCSB 1822 type Revisions 10 Network
19,22,auxiliary SITE <L2> LINK# |////////////////| FLAGS TYPE output message control
20,23,Network Group G Gregg Request Comments: 23 UCSB 16 October
21,24,Calif Steve MITRE (213) Utah (Sec'y) Mass Group Network ARPA
22,25,Network Group Steve Request Comments: 25 30 October NO HIGH
23,26,26
24,27,Calif Mass MITRE UCSB (617) Steve Utah (213) Network Group
25,28,Group Bill English RFC-28 SRI 13 January 1970 TIME STANDARDS
26,29,S Network Group Robert Kahn RFC-29 19 January 1970 This
27,30,Calif (617) Mass MITRE RAND Steve Utah Stanford Group Carnegie-Mellon
28,31,CPAIR OPT 1968 Field 31 COORD EXP Binary Message February
29,32,"[ require clock Network Group Jerry Cole, Request Comments: 32"
30,33,<AEN HOST-HOST 1970 network 33 1> 12 February 2> SRI
31,34,Bits 23 straight range ARC 34 8 16 60 [
32,35,Network [ network NWG/RFC Group S Request Comments: 35 Category:
33,36,socket> <link> <my <your socket This Form: Purpose: 36 1970
34,37,"I NWG/RFC Network March Epilogue, 1970 37 20 Meeting (617)"
35,38,Network [ network Group Stephen M Wolfe Request Comments: 38
36,39,1970 <My Socket> <BDC> Heafner NCP COMMENTS PROTOCOL NWG/RFC #36
37,40,Invalid NCP NWG/RFC table <NOP> <Code> <QRY> <RPY> <Command Unused
38,41,[ Network Group John Melvin Request Comments: 41 SRI/ARC 30
39,42,|=| MYLOCAL YOURLOCAL X Network 42 1970 type message /==|
40,43,MIT I/O LIL Nemeth 8 TSP G Network Group Request
